alpha,success_rate,n_converged,n_total,avg_iters,avg_welfare,avg_expl
0.001,0.0,0,10,,,0.12553840212691125
0.003,0.0,0,10,,,0.026320327069933258
0.005,0.0,0,10,,,0.006242692873097422
0.007,20.0,2,10,1885.0,5.802912218340465,0.0009854619595975889
0.01,40.0,4,10,1507.5,5.629705478942894,0.0009693046610790845
0.015,80.0,8,10,1301.25,6.344887413257242,0.0009657054216095085
0.02,100.0,10,10,1113.0,6.604094488957664,0.0009658491198664354
0.03,100.0,10,10,738.0,6.604107992425368,0.0009477668525137873
