seed,alpha,nash_converged,num_iters,final_welfare,total_expl
100,0.001,False,1999,8.03114933103187,0.41644676460596974
101,0.001,False,1999,7.413382596655175,0.7468388662951566
102,0.001,False,1999,8.410577509958479,0.5080805753778435
103,0.001,False,1999,7.938940699429223,0.41683077156322357
104,0.001,False,1999,7.965665281371213,1.213408749173771
105,0.001,False,1999,7.399902430940683,0.416745495486494
106,0.001,False,1999,10.21715386369151,3.062791804322232
107,0.001,False,1999,8.28813464426183,0.12553840212691125
108,0.001,False,1999,8.261851400414399,0.7305287463440056
109,0.001,False,1999,8.02878714283926,1.607231497686876
100,0.003,False,1999,7.5073191488030115,0.29232210885899446
101,0.003,False,1999,6.117010491463437,0.06568873237530948
102,0.003,False,1999,7.631439100218579,0.09251945027386954
103,0.003,False,1999,7.773626108153502,0.2637738401413443
104,0.003,False,1999,6.052526047229663,0.2157493535896151
105,0.003,False,1999,7.054256984720667,0.240390779376912
106,0.003,False,1999,8.772728664164115,1.1738536031308624
107,0.003,False,1999,8.231150799869614,0.026320327069933258
108,0.003,False,1999,7.468361469418024,0.32667884305123485
109,0.003,False,1999,5.332454031812331,0.13822135449677753
100,0.005,False,1999,6.979675830336401,0.14593831255192868
101,0.005,False,1999,5.9880158130742585,0.006242692873097422
102,0.005,False,1999,7.414950719046003,0.035571373079865465
103,0.005,False,1999,7.689642688756342,0.18509658454887812
104,0.005,False,1999,5.6267417554409835,0.012664964475499474
105,0.005,False,1999,7.087563156756751,0.14069561325340874
106,0.005,False,1999,6.539868787844967,0.1968085811191702
107,0.005,False,1999,8.212892032760882,0.008360622835359433
108,0.005,False,1999,7.168051270517575,0.10792382502551168
109,0.005,False,1999,4.979536962754549,0.011735867621923024
100,0.007,False,1999,6.7184427952418915,0.0445825033677798
101,0.007,True,1870,5.982122723044861,0.000984677791920241
102,0.007,False,1999,7.270635715730388,0.012879992544363228
103,0.007,False,1999,7.534877848074084,0.08752375423705416
104,0.007,True,1900,5.62370171363607,0.0009862461272749368
105,0.007,False,1999,7.180810340437412,0.04244774123948236
106,0.007,False,1999,6.056483613778181,0.022558870751614668
107,0.007,False,1999,8.194712316210039,0.0040540399942778915
108,0.007,False,1999,7.1389994697758645,0.02323946730280002
109,0.007,False,1999,4.958626761986503,0.0010173526523458154
100,0.01,False,1999,6.679983010552334,0.005202956796558356
101,0.01,True,1310,5.982123689230214,0.000963271606267968
102,0.01,False,1999,7.151106963769556,0.0024919050313736424
103,0.01,False,1999,7.30084257693362,0.01902513083218338
104,0.01,True,1330,5.623734817077221,0.0009674695949952739
105,0.01,False,1999,7.2367267958971775,0.005014647622322954
106,0.01,True,1990,5.954328986445657,0.0009872703927571447
107,0.01,False,1999,8.165801874034242,0.0021506724755608886
108,0.01,False,1999,7.172017241419607,0.0024577626415669407
109,0.01,True,1400,4.9586344230184825,0.0009592070502959515
100,0.015,True,1620,6.69618967319557,0.0009969544695291876
101,0.015,True,870,5.98211574093525,0.0009654612865379608
102,0.015,True,1540,7.117312327480397,0.0009972170078906828
103,0.015,False,1999,7.181450399342031,0.0015610141524955434
104,0.015,True,890,5.623902941685384,0.0009018852611402117
105,0.015,True,1730,7.2462643525777795,0.0009746821169958064
106,0.015,True,1330,5.95387154911931,0.0009311272528862435
107,0.015,False,1999,8.123046386280393,0.0012077273533510624
108,0.015,True,1500,7.1808050216613655,0.0009961856044324868
109,0.015,True,930,4.958637699402875,0.0009621303734634878
100,0.02,True,1220,6.696777769526432,0.0009320174645823798
101,0.02,True,650,5.982107800932994,0.0009676839754784172
102,0.02,True,1150,7.1172926816117865,0.0009959205210690047
103,0.02,True,1580,7.175950515388747,0.0009857915607027756
104,0.02,True,660,5.623625857693819,0.0009788324895327882
105,0.02,True,1290,7.2462494444328955,0.0009871617064893812
106,0.02,True,990,5.954588408767595,0.0009712503460117539
107,0.02,True,1760,8.104377968534646,0.000994540098384844
108,0.02,True,1130,7.181314555517528,0.0009375071188844064
109,0.02,True,700,4.958659887170187,0.0009077859175286029
100,0.03,True,810,6.696948208715261,0.0009100638339414324
101,0.03,True,430,5.982091949106783,0.0009722310131099476
102,0.03,True,760,7.117252198146948,0.0009932743178988623
103,0.03,True,1050,7.175506284807504,0.0009453014352909239
104,0.03,True,440,5.623746381906991,0.000917332107809754
105,0.03,True,860,7.246371691672261,0.0009463197652657129
106,0.03,True,660,5.954233489653008,0.0009082474226527193
107,0.03,True,1160,8.104763413620256,0.00099861521582989
108,0.03,True,750,7.181518641414915,0.0009153223952882428
109,0.03,True,460,4.958647665209748,0.0009709610180503869
