iteration,welfare,energy_player_0,energy_player_1,energy_player_2,I1,I2,I3,I4,I5
0,7.9620359031482035,2.212240586959096,2.487185877940053,3.2626094382490547,0.6885078879613209,0.7391229754673717,0.9168870088750832,0.5615015738483279,7.24414092007219e-05
1,8.090868249930098,2.2302478113320703,2.5999337274562215,3.2606867111418065,0.6735599996229553,0.7407563056281053,0.8896596596031668,0.5482925986030333,0.00012767848015459088
2,8.803796581830587,2.310847381445029,2.8048386073356086,3.68811059304995,0.601816550676648,0.6753514727531511,0.8569801059878153,0.4455485166937941,0.00018996665421821334
3,9.082835798986011,2.361214818355692,3.0319857526801735,3.689635227950146,0.5837004288078145,0.6806735328030106,0.8113946045798959,0.431186806197816,0.00033036398405476933
4,10.884238580932301,2.6173042594757563,3.7095617023511958,4.557372619105349,0.5219679471136154,0.610801468426647,0.760906985273709,0.3339764541107455,0.0004356069531983789
5,11.531121283400502,2.742731798877463,4.20524157482369,4.583147909699349,0.5102264885466368,0.6249725356000199,0.6911641246186456,0.3279921842409247,0.0007268026707903689
6,11.99429475540173,3.2078578825852313,4.1763300451994025,4.610106827617097,0.5032804336908372,0.577047414805059,0.644177744685662,0.2870445776297369,0.0007475641445478212
7,11.99430929737755,3.2109603148822705,4.178289991526289,4.60505899096899,0.5033445097138352,0.5772993719400704,0.6432714817479925,0.2871526470847939,0.0007513770170432693
8,11.996454462560006,3.179605135759971,4.196933219110463,4.619916107689573,0.5023828856276981,0.5794849223959048,0.6455847673664199,0.2881345296553781,0.0007542894653880239
9,11.996492445842932,3.1816969062005493,4.198236956330887,4.6165585833114955,0.5024202041162126,0.5796544113925124,0.6449772186772211,0.2882035774187323,0.0007568777309105437
